date,isin,nav
2016-07-26,IE0004460683,6.6330
2016-07-27,IE0004460683,6.6220
2016-07-28,IE0004460683,6.5640
2016-07-29,IE0004460683,6.5510
2016-08-02,IE0004460683,6.4220
2016-08-03,IE0004460683,6.4780
2016-08-04,IE0004460683,6.5270
2016-08-05,IE0004460683,6.5950
2016-08-08,IE0004460683,6.6590
2016-08-09,IE0004460683,6.6530
2016-08-10,IE0004460683,6.6010
2016-08-11,IE0004460683,6.6500
2016-08-12,IE0004460683,6.6530
2016-08-16,IE0004460683,6.6490
2016-08-17,IE0004460683,6.6430
2016-08-18,IE0004460683,6.6910
2016-08-19,IE0004460683,6.6540
2016-08-22,IE0004460683,6.6180
2016-08-23,IE0004460683,6.6520
2016-08-24,IE0004460683,6.6430
2016-08-25,IE0004460683,6.6130
2016-08-26,IE0004460683,6.6250
2016-08-29,IE0004460683,6.6800
2016-08-30,IE0004460683,6.6710
2016-08-31,IE0004460683,6.6050
2016-09-01,IE0004460683,6.5800
2016-09-02,IE0004460683,6.6650
2016-09-05,IE0004460683,6.6960
2016-09-06,IE0004460683,6.6940
2016-09-07,IE0004460683,6.7140
2016-09-08,IE0004460683,6.7250
2016-09-09,IE0004460683,6.6040
2016-09-12,IE0004460683,6.5910
2016-09-13,IE0004460683,6.4530
2016-09-14,IE0004460683,6.4130
2016-09-15,IE0004460683,6.4590
2016-09-16,IE0004460683,6.4470
2016-09-19,IE0004460683,6.4740
2016-09-20,IE0004460683,6.4450
2016-09-21,IE0004460683,6.5540
2016-09-22,IE0004460683,6.5860
2016-09-23,IE0004460683,6.5420
2016-09-26,IE0004460683,6.4740
2016-09-27,IE0004460683,6.4790
2016-09-28,IE0004460683,6.6110
2016-09-29,IE0004460683,6.6620
2016-09-30,IE0004460683,6.6780
2016-10-03,IE0004460683,6.6910
2016-10-04,IE0004460683,6.6920
2016-10-05,IE0004460683,6.7140
2016-10-06,IE0004460683,6.7310
2016-10-07,IE0004460683,6.6980
